date,LOAD_WEIGHT
2006-06-28,6260.0
2006-06-30,10520.0
2006-07-05,5680.0
2006-07-10,4480.0
2006-07-12,9240.0
2006-07-15,9980.0
2006-07-18,11360.0
2006-07-19,4120.0
2006-07-24,5260.0
2006-07-25,6120.0
2006-07-26,7060.0
2006-08-02,2800.0
2006-08-07,5720.0
2006-08-08,6840.0
2006-08-09,6460.0
2006-08-14,2620.0
2006-08-16,7820.0
2006-08-21,5680.0
2006-08-22,4460.0
2006-08-23,700.0
2006-08-26,2800.0
2006-08-28,5740.0
2006-08-29,10080.0
2006-08-30,5820.0
2006-09-01,660.0
2006-09-02,4420.0
2006-09-05,4900.0
2006-09-06,2040.0
2006-09-09,5860.0
2006-09-11,3700.0
2006-09-12,5220.0
2006-09-13,4140.0
2006-09-16,5760.0
2006-09-20,29400.0
2006-09-26,4420.0
2006-09-30,4740.0
2006-10-02,6580.0
2006-10-04,4700.0
2006-10-07,3820.0
2006-10-09,6960.0
2006-10-11,4440.0
2006-10-14,1960.0
2006-10-17,4640.0
2006-10-18,5020.0
2006-10-25,5400.0
2006-10-30,5460.0
2006-11-01,4580.0
2006-11-04,5440.0
2006-11-06,5760.0
2006-11-08,5440.0
2006-11-17,4940.0
2006-11-20,1700.0
2006-11-27,4960.0
2006-11-29,9780.0
2006-12-02,3660.0
2006-12-04,4220.0
2006-12-05,3740.0
2006-12-09,5180.0
2006-12-16,4100.0
2006-12-18,5840.0
2006-12-23,3080.0
2007-01-08,5320.0
2007-01-09,4980.0
2007-01-24,5580.0
2007-01-27,4760.0
2007-01-31,5300.0
2007-02-07,1900.0
2007-02-10,4040.0
2007-02-19,4920.0
2007-02-26,6360.0
2007-02-28,2220.0
2007-03-03,2960.0
2007-03-10,4860.0
2007-03-13,7020.0
2007-03-14,320.0
2007-03-16,7680.0
2007-03-19,7640.0
2007-03-21,3880.0
2007-03-22,2280.0
2007-04-02,6140.0
2007-04-05,4800.0
2007-04-11,4760.0
2007-04-19,700.0
2007-04-21,4980.0
2007-04-23,15600.0
2007-04-24,2360.0
2007-04-25,9640.0
2007-04-26,1600.0
2007-04-30,5780.0
2007-05-08,5600.0
2007-05-10,560.0
2007-05-11,520.0
2007-05-12,5080.0
2007-05-26,6460.0
2007-05-30,6680.0
2007-06-11,5760.0
2007-06-13,3240.0
2007-06-20,5380.0
2007-06-22,2040.0
2007-06-24,3160.0
2007-06-26,5960.0
2007-06-29,1620.0
2007-07-18,2600.0
2007-07-23,7420.0
2007-07-25,5600.0
2007-07-31,6320.0
2007-08-04,3440.0
2007-08-06,6260.0
2007-08-08,3900.0
2007-08-15,4320.0
2007-08-20,6200.0
2007-08-22,2880.0
2007-08-27,4720.0
2007-08-29,2220.0
2007-09-05,5760.0
2007-09-12,5860.0
2007-09-13,4900.0
2007-10-03,7140.0
2007-10-08,6200.0
2007-10-10,4720.0
2007-10-11,3120.0
2007-10-13,6260.0
2007-10-15,5200.0
2007-10-17,2220.0
2007-10-18,4380.0
2007-10-19,5320.0
2007-10-23,4500.0
2007-10-26,3540.0
2007-10-27,2020.0
2007-10-29,5240.0
2007-10-31,5140.0
2007-11-01,1780.0
2007-11-02,1260.0
2007-11-05,6880.0
2007-11-07,3100.0
2007-11-10,4380.0
2007-11-13,6220.0
2007-11-17,3880.0
2007-11-20,2240.0
2007-11-27,680.0
2007-11-28,2800.0
2007-12-01,1560.0
2007-12-07,400.0
2007-12-08,6740.0
2007-12-12,8540.0
2007-12-14,1040.0
